LD_Name,ND-LD_psnr,box_psnr,gaus_psnr,sharp_psnr,med_psnr
L192_QD_3_1.CT.0003.0001.2015.12.22.20.43.31.862066.358698060.IMA,21.311029606324556,19.64641877263012,20.962597359596828,8.602055013044788,21.792129082148037
L192_QD_3_1.CT.0003.0002.2015.12.22.20.43.31.862066.358698084.IMA,21.03069383261876,19.4242783391995,20.724998034530792,8.356018752017974,21.37829093235601
L192_QD_3_1.CT.0003.0003.2015.12.22.20.43.31.862066.358698108.IMA,21.405967931246742,19.393480498048824,20.77591045729976,8.425012629278243,21.251769593695823
L192_QD_3_1.CT.0003.0004.2015.12.22.20.43.31.862066.358698132.IMA,21.602413693932697,19.319951958087323,20.75353435891929,8.385834697763658,20.96951071985588
L192_QD_3_1.CT.0003.0005.2015.12.22.20.43.31.862066.358698156.IMA,21.366068030532226,19.17606780446046,20.58800713718911,8.205688351295446,20.948859896384207
L192_QD_3_1.CT.0003.0006.2015.12.22.20.43.31.862066.358698180.IMA,21.927854862205827,19.599724636217122,21.05000972842558,8.656788729407163,21.37676682782127
L192_QD_3_1.CT.0003.0007.2015.12.22.20.43.31.862066.358698204.IMA,22.052228025089367,19.897227881378466,21.315223085388155,8.916312780692802,21.843726074057308
L192_QD_3_1.CT.0003.0008.2015.12.22.20.43.31.862066.358698228.IMA,21.99013511562718,20.09152634854957,21.45828011435129,9.060670765675123,22.25527663266977
L192_QD_3_1.CT.0003.0009.2015.12.22.20.43.31.862066.358698252.IMA,22.593875541559612,20.357621282624567,21.79227751204412,9.40627659889495,22.687655238580344
L192_QD_3_1.CT.0003.0010.2015.12.22.20.43.31.862066.358698276.IMA,22.63352195061028,20.26309862705355,21.736610568207663,9.287216475981829,22.440828687659934
L192_QD_3_1.CT.0003.0011.2015.12.22.20.43.31.862066.358698300.IMA,22.410317227765468,19.89222202808781,21.38041691592552,8.994815575902319,21.95668132520449
L192_QD_3_1.CT.0003.0012.2015.12.22.20.43.31.862066.358698324.IMA,23.12959554321875,19.946262246448438,21.52929219189405,9.23987126626222,21.922515547464787
L192_QD_3_1.CT.0003.0013.2015.12.22.20.43.31.862066.358698348.IMA,23.398179472793057,19.912889053313158,21.52981251570867,9.246482766505684,22.218567650450417
L192_QD_3_1.CT.0003.0014.2015.12.22.20.43.31.862066.358698372.IMA,23.288028142404656,19.97702590081279,21.579043696602916,9.271319857657813,22.08323276324778
L192_QD_3_1.CT.0003.0015.2015.12.22.20.43.31.862066.358698396.IMA,23.900155115294822,20.57019157488909,22.1842699830935,9.88258689398289,22.838378487779444
L192_QD_3_1.CT.0003.0016.2015.12.22.20.43.31.862066.358698420.IMA,24.245975846077524,20.978519615126746,22.60384325119236,10.23005260246805,23.605518888180832
L192_QD_3_1.CT.0003.0017.2015.12.22.20.43.31.862066.358698444.IMA,24.046005959180587,20.96199946997409,22.560664156512967,10.148700885091158,23.651541516658607
L192_QD_3_1.CT.0003.0018.2015.12.22.20.43.31.862066.358698468.IMA,24.660408755932917,20.953336594336946,22.645540743244126,10.255576336809643,23.577287295826817
L192_QD_3_1.CT.0003.0019.2015.12.22.20.43.31.862066.358698492.IMA,24.793234281186407,20.78838481108102,22.521455076911224,10.160644262413818,23.356838605655863
L192_QD_3_1.CT.0003.0020.2015.12.22.20.43.31.862066.358698516.IMA,24.504841149321464,20.43663436348414,22.16772126535895,9.81796874433756,22.73528551274316
L192_QD_3_1.CT.0003.0021.2015.12.22.20.43.31.862066.358698540.IMA,24.971705172589417,20.36137260506343,22.16279241042948,9.779014383627537,22.635791570311504
L192_QD_3_1.CT.0003.0022.2015.12.22.20.43.31.862066.358698564.IMA,24.869443113334377,20.25151924313141,22.04324118982693,9.719563589336826,22.788952260098597
L192_QD_3_1.CT.0003.0023.2015.12.22.20.43.31.862066.358698588.IMA,24.46554600529611,20.439021156875924,22.16007461131438,9.793245630743627,22.76438002890771
L192_QD_3_1.CT.0003.0024.2015.12.22.20.43.31.862066.358698612.IMA,24.922363158855674,21.022657322477688,22.735507397795626,10.339493635582148,23.562022222930086
L192_QD_3_1.CT.0003.0025.2015.12.22.20.43.31.862066.358698636.IMA,24.796514757679972,21.36468052346309,23.015729331421024,10.597381725822162,24.23062593606484
L192_QD_3_1.CT.0003.0026.2015.12.22.20.43.31.862066.358698660.IMA,24.32181469846338,21.112567228204504,22.717683089656955,10.354960039097087,23.70003877495585
L192_QD_3_1.CT.0003.0027.2015.12.22.20.43.31.862066.358698684.IMA,24.64590335846815,21.02627234907488,22.69249190083827,10.35881245332293,23.5811836167047
L192_QD_3_1.CT.0003.0028.2015.12.22.20.43.31.862066.358698708.IMA,24.30885283387823,20.904736272961323,22.536311853359464,10.186456069061904,23.385898824556783
L192_QD_3_1.CT.0003.0029.2015.12.22.20.43.31.862066.358698732.IMA,23.556272535739563,20.35226474299296,21.95156626425141,9.553742481450215,22.220458558850673
L192_QD_3_1.CT.0003.0030.2015.12.22.20.43.31.862066.358698756.IMA,23.67143038891209,20.34070371941967,21.949869327684763,9.573212387295017,22.507098108458045
L192_QD_3_1.CT.0003.0031.2015.12.22.20.43.31.862066.358698780.IMA,23.391269303533413,20.40650276822838,21.949566053749496,9.617279356672075,22.668403486057688
L192_QD_3_1.CT.0003.0032.2015.12.22.20.43.31.862066.358698804.IMA,22.752335733434155,20.496150102822202,21.92358728938196,9.524370900727185,22.415600475784903
L192_QD_3_1.CT.0003.0033.2015.12.22.20.43.31.862066.358698828.IMA,22.971807077186416,20.912768377809186,22.317670426904478,9.86806928187367,23.28276486881731
L192_QD_3_1.CT.0003.0034.2015.12.22.20.43.31.862066.358698852.IMA,22.79177842016409,20.91443287633261,22.28281275379489,9.864575631379552,23.35942208116876
L192_QD_3_1.CT.0003.0035.2015.12.22.20.43.31.862066.358698876.IMA,22.190603023645306,20.677744017076897,21.963945748681265,9.548153986177336,22.96060154179784
L192_QD_3_1.CT.0003.0036.2015.12.22.20.43.31.862066.358698900.IMA,22.3986687290893,20.868853132734593,22.15923514057941,9.742545394933842,23.116862551704358
L192_QD_3_1.CT.0003.0037.2015.12.22.20.43.31.862066.358698924.IMA,22.181596017539942,20.856936203337668,22.10221158534835,9.657185844808346,23.01767616506103
L192_QD_3_1.CT.0003.0038.2015.12.22.20.43.31.862066.358698948.IMA,21.592949583718966,20.679534399366798,21.833713402895047,9.326460640945093,22.666743356098834
L192_QD_3_1.CT.0003.0039.2015.12.22.20.43.31.862066.358698972.IMA,21.917121779085825,20.863531829239278,22.047570186139843,9.596540356293747,22.93833747927622
L192_QD_3_1.CT.0003.0040.2015.12.22.20.43.31.862066.358698996.IMA,21.858974950773323,20.857106466997845,22.033741162723004,9.561022703302353,22.924362951430062
